Time,Pressure_bar
4.140000,-85.222060
4.160000,-85.074669
4.180000,-85.222060
4.200000,-85.208661
4.220000,-85.208661
4.240000,-85.222060
4.260000,-85.168463
4.280000,-85.208661
4.300000,-85.034472
4.320000,-85.168463
4.340000,-85.195261
4.360000,-85.208661
4.380000,-85.034472
4.400000,-85.155064
4.420000,-85.195261
4.440000,-85.047871
4.460000,-85.476643
4.480000,-85.168463
4.500000,-85.181862
4.520000,-85.222060
4.540000,-85.155064
4.560000,-85.222060
4.580000,-85.195261
4.600000,-85.423046
4.621000,-85.208661
4.641000,-85.208661
4.660000,-85.208661
4.680000,-85.449845
4.700000,-85.235459
4.720000,-85.034472
4.740000,-85.423046
4.760000,-85.195261
4.780000,-85.195261
4.800000,-85.208661
4.820000,-85.155064
4.840000,-85.195261
4.860000,-85.034472
4.880000,-85.235459
4.900000,-85.222060
4.920000,-85.208661
4.940000,-85.235459
4.960000,-85.181862
4.980000,-85.208661
5.000000,-85.208661
5.023000,-85.436445
5.042000,-85.195261
5.061000,-85.034472
5.080000,-85.208661
5.100000,-85.168463
5.120000,-85.181862
5.140000,-85.034472
5.160000,-85.208661
5.180000,-85.181862
5.200000,-85.061270
5.220000,-85.436445
5.240000,-85.195261
5.260000,-85.195261
5.280000,-85.074669
5.300000,-85.195261
5.320000,-85.208661
5.340000,-85.235459
5.360000,-85.423046
5.380000,-85.208661
5.400000,-85.208661
5.420000,-85.181862
5.440000,-85.449845
5.460000,-85.222060
5.480000,-85.195261
5.500000,-85.436445
5.520000,-85.195261
5.540000,-85.195261
5.560000,-85.208661
5.580000,-85.449845
5.600000,-85.222060
5.620000,-85.074669
5.640000,-85.208661
5.660000,-85.195261
5.680000,-85.235459
5.700000,-85.222060
5.720000,-85.195261
5.740000,-85.168463
5.760000,-85.034472
5.780000,-85.222060
5.800000,-85.181862
5.820000,-85.208661
5.840000,-85.074669
5.860000,-85.168463
5.880000,-85.208661
5.900000,-85.034472
5.920000,-85.449845
5.940000,-85.168463
5.960000,-85.181862
5.980000,-85.034472
6.001000,-85.155064
6.020000,-85.222060
6.040000,-85.208661
6.060000,-85.449845
6.095000,-85.168463
6.101000,-85.181862
6.125000,-85.235459
6.140000,-85.423046
6.160000,-85.208661
6.180000,-85.195261
6.200000,-85.436445
6.220000,-85.195261
6.240000,-85.195261
6.260000,-85.208661
6.280000,-85.436445
6.300000,-85.222060
6.320000,-85.047871
6.340000,-85.248858
6.360000,-85.181862
6.380000,-85.222060
6.400000,-85.235459
6.420000,-85.155064
6.440000,-85.208661
6.460000,-85.047871
6.481000,-85.222060
6.500000,-85.222060
6.520000,-85.235459
6.540000,-85.047871
6.560000,-85.181862
6.580000,-85.222060
6.600000,-85.047871
6.620000,-85.449845
6.640000,-85.195261
6.660000,-85.181862
6.681000,-85.021073
6.701000,-85.181862
6.720000,-85.208661
6.741000,-85.208661
6.761000,-85.436445
6.781000,-85.168463
6.800000,-85.195261
6.820000,-85.222060
6.841000,-85.423046
6.860000,-85.222060
6.880000,-85.181862
6.900000,-85.409647
6.921000,-85.195261
6.940000,-85.208661
6.960000,-85.302454
6.980000,-85.141665
7.001000,-85.195261
7.020000,-85.208661
7.040000,-85.449845
7.060000,-85.181862
7.080000,-85.195261
7.100000,-85.208661
7.120000,-85.208661
7.140000,-85.222060
7.160000,-85.208661
7.185000,-85.409647
7.200000,-85.168463
7.221000,-85.061270
7.240000,-85.222060
7.260000,-85.235459
7.280000,-85.208661
7.300000,-85.034472
7.320000,-85.168463
7.340000,-85.208661
7.360000,-85.047871
7.380000,-85.222060
7.400000,-85.208661
7.420000,-85.195261
7.440000,-85.061270
7.460000,-85.181862
7.480000,-85.208661
7.501000,-85.235459
7.520000,-85.436445
7.540000,-85.168463
7.560000,-85.168463
7.581000,-85.034472
7.600000,-85.436445
7.620000,-85.208661
7.640000,-85.181862
7.660000,-85.409647
7.680000,-85.195261
7.700000,-85.208661
7.720000,-85.222060
7.740000,-85.423046
7.760000,-85.208661
7.780000,-85.208661
7.800000,-85.222060
7.820000,-85.195261
7.841000,-85.195261
7.860000,-85.222060
7.880000,-85.436445
7.900000,-85.208661
7.921000,-85.034472
7.940000,-85.235459
7.960000,-85.208661
7.980000,-85.222060
8.000000,-85.061270
8.020000,-85.168463
